customer_id,order_id,product_id,quantity,price,order_date,order_status,channel,discount,product_price,payment_amount,payment_method,payment_date,name,city,signup_date,calculated_revenue
1950,1,29,4,1701.7200,2024-02-29,Cancelled,Web,0.05,1136.8500,532.6100,Wallet,2024-02-26,Cust_1950,Pune,2022-03-15,4547.4000
1491,2,98,5,1643.0100,2024-01-28,Completed,Store,0.16,1658.3300,1583.6700,UPI,2024-01-23,Cust_1491,Jaipur,2023-06-03,8291.6500
1518,3,2,4,1948.4700,2024-01-10,Completed,Store,0.18,1837.1200,1271.9200,Card,2024-01-29,Cust_1518,Jaipur,2023-02-03,7348.4800
440,4,33,3,1911.6900,2024-02-01,Completed,Web,0.07,1071.5000,1296.8600,UPI,2024-02-28,Cust_440,Bangalore,2023-11-22,3214.5000
1011,5,1,4,795.8800,2024-02-11,Completed,App,0.25,1781.5900,614.5000,NetBanking,2024-01-29,Cust_1011,Pune,2023-04-12,7126.3600
741,6,31,3,625.8500,2024-01-31,Completed,Store,0.15,1678.4300,1579.4400,Wallet,2024-01-13,Cust_741,Bangalore,2022-02-25,5035.2900
201,7,35,3,174.1500,2024-01-14,Completed,Web,0.22,1507.3900,1755.4800,UPI,2024-02-14,Cust_201,Pune,2022-03-17,4522.1700
490,8,100,5,823.9300,2024-02-29,Cancelled,Web,0.06,369.6100,null,null,null,Cust_490,Pune,2023-09-07,1848.0500
269,9,39,1,1880.0900,2024-02-10,Cancelled,Web,0.27,278.6400,1056.5000,UPI,2024-02-20,Cust_269,Bangalore,2022-12-28,278.6400
1203,10,50,3,522.3200,2024-01-12,Completed,App,0.19,570.2800,816.0500,Wallet,2024-01-03,Cust_1203,Jaipur,2022-07-21,1710.8400
1163,11,4,5,1101.8700,2024-01-21,Cancelled,App,0.04,702.1200,307.6800,Wallet,2024-02-23,Cust_1163,Bangalore,2023-07-05,3510.6000
1852,12,81,1,624.0400,2024-02-03,Completed,Web,0.12,119.8500,1294.4000,NetBanking,2024-01-15,Cust_1852,Delhi,2022-01-19,119.8500
267,13,63,5,1986.1300,2024-02-01,Cancelled,Web,0.02,1129.2300,931.4600,Wallet,2024-02-12,Cust_267,Jaipur,2022-09-24,5646.1500
874,14,53,4,1955.8600,2024-02-25,Cancelled,Web,0.19,1791.9400,1258.3500,Card,2024-01-03,Cust_874,Bangalore,2023-04-14,7167.7600
1378,15,1,5,1218.8100,2024-01-04,Cancelled,App,0.11,1781.5900,1573.9800,Card,2024-02-12,Cust_1378,Pune,2023-04-02,8907.9500
986,16,54,2,752.7800,2024-01-02,Completed,App,0.18,1787.3900,1529.4500,NetBanking,2024-01-31,Cust_986,Jaipur,2023-08-22,3574.7800
1473,17,86,3,1750.9800,2024-02-06,Completed,App,0.19,1738.6100,1447.6800,Card,2024-01-19,Cust_1473,Bangalore,2022-02-02,5215.8300
597,18,93,5,688.1900,2024-01-24,Completed,Web,0.24,875.8700,602.4000,Card,2024-01-27,Cust_597,Delhi,2023-07-06,4379.3500
236,19,29,5,418.2200,2024-02-18,Completed,Web,0.03,1136.8500,1372.5500,NetBanking,2024-02-15,Cust_236,Pune,2022-03-29,5684.2500
475,20,77,2,341.2700,2024-02-17,Completed,App,0.18,282.4700,1215.8800,Wallet,2024-02-23,Cust_475,Delhi,2022-07-06,564.9400
813,21,18,2,1238.8000,2024-02-07,Cancelled,Web,0.01,926.4600,1312.1200,UPI,2024-01-12,Cust_813,Delhi,2023-11-11,1852.9200
270,22,88,2,347.5800,2024-02-12,Completed,Web,0.24,1085.6700,135.8000,UPI,2024-02-09,Cust_270,Bangalore,2023-01-14,2171.3400
396,23,15,3,1087.2400,2024-02-24,Completed,Web,0.03,859.8500,null,null,null,Cust_396,Bangalore,2022-09-03,2579.5500
1940,24,1,4,330.3400,2024-02-28,Cancelled,Web,0.08,1781.5900,675.4700,UPI,2024-01-25,Cust_1940,Bangalore,2022-05-06,7126.3600
716,25,23,2,1402.9000,2024-02-05,Cancelled,App,0.01,339.9700,561.4300,UPI,2024-02-24,Cust_716,Delhi,2023-05-17,679.9400
581,26,96,2,1173.9200,2024-01-09,Completed,Store,0.17,214.3900,1026.1900,UPI,2024-01-24,Cust_581,Jaipur,2022-07-03,428.7800
143,27,33,5,759.2600,2024-01-25,Cancelled,App,0.22,1071.5000,867.9500,UPI,2024-01-03,Cust_143,Jaipur,2023-07-26,5357.5000
1149,28,39,3,1614.4200,2024-01-02,Cancelled,App,0.15,278.6400,1301.6100,Wallet,2024-01-15,Cust_1149,Delhi,2023-01-20,835.9200
1627,29,9,3,1595.8000,2024-02-11,Completed,Web,0.07,2157.8600,1026.5400,Wallet,2024-02-17,Cust_1627,Pune,2023-03-11,6473.5800
1640,30,66,1,1110.0400,2024-02-25,Cancelled,Store,0.17,1642.3200,501.4100,NetBanking,2024-03-01,Cust_1640,Mumbai,2023-09-19,1642.3200
1424,31,60,5,1163.7400,2024-01-06,Completed,App,0.02,1128.9300,1389.9400,UPI,2024-01-31,Cust_1424,Delhi,2023-01-14,5644.6500
1058,32,51,2,136.9100,2024-01-10,Completed,Web,0.11,1795.4500,null,null,null,Cust_1058,Bangalore,2022-02-14,3590.9000
268,33,84,3,101.2800,2024-01-07,Completed,Store,0.1,456.8200,1210.5100,Wallet,2024-02-04,Cust_268,Delhi,2022-08-20,1370.4600
1686,34,86,4,1649.5100,2024-02-05,Cancelled,Web,0.03,1738.6100,254.1500,UPI,2024-01-17,Cust_1686,Delhi,2022-01-30,6954.4400
196,35,67,2,682.8900,2024-02-28,Completed,Web,0.16,661.6800,1023.9200,UPI,2024-02-26,Cust_196,Jaipur,2022-12-29,1323.3600
1487,36,47,1,1900.1300,2024-01-30,Completed,Web,0.03,2035.8400,1650.3600,Wallet,2024-01-23,Cust_1487,Mumbai,2023-07-08,2035.8400
1985,37,98,3,1702.5600,2024-02-09,Cancelled,App,0.16,1658.3300,344.1700,Wallet,2024-01-03,Cust_1985,Pune,2023-11-16,4974.9900
1070,38,56,1,229.1000,2024-02-07,Completed,Web,0.25,860.7500,190.3700,Card,2024-02-14,Cust_1070,Bangalore,2023-10-06,860.7500
55,39,66,1,117.8900,2024-01-01,Completed,Web,0.07,1642.3200,932.5700,Wallet,2024-01-20,Cust_55,Bangalore,2023-05-01,1642.3200
560,40,19,5,1104.3600,2024-01-28,Completed,App,0.04,477.4400,1193.6700,Card,2024-03-01,Cust_560,Jaipur,2022-03-17,2387.2000
1885,41,76,1,862.3400,2024-01-30,Cancelled,Web,0.01,694.9000,1188.9900,UPI,2024-02-19,Cust_1885,Jaipur,2023-11-11,694.9000
576,42,41,4,1402.7500,2024-01-08,Completed,App,0.23,770.3500,321.4600,NetBanking,2024-02-14,Cust_576,Bangalore,2023-01-02,3081.4000
650,43,86,3,1819.9100,2024-02-28,Completed,Web,0.02,1738.6100,1253.8400,NetBanking,2024-02-02,Cust_650,Jaipur,2023-08-16,5215.8300
417,44,34,1,1967.0200,2024-02-27,Cancelled,App,0.17,594.7300,198.1100,NetBanking,2024-03-01,Cust_417,Delhi,2023-08-09,594.7300
1462,45,48,2,1761.1800,2024-02-08,Completed,App,0.09,1661.1900,166.5500,Card,2024-01-20,Cust_1462,Pune,2023-03-24,3322.3800
1981,46,84,2,1922.0400,2024-02-09,Completed,Store,0.01,456.8200,null,null,null,Cust_1981,Bangalore,2023-01-12,913.6400
622,47,22,2,373.7200,2024-02-27,Completed,App,0.12,2015.7100,886.5600,UPI,2024-02-21,Cust_622,Jaipur,2023-12-02,4031.4200
991,48,25,4,871.7900,2024-02-10,Cancelled,Store,0.03,1078.8400,1384.6700,Card,2024-02-29,Cust_991,Jaipur,2022-12-30,4315.3600
1838,49,33,2,707.3900,2024-01-13,Cancelled,Store,0.02,1071.5000,1353.3300,UPI,2024-02-12,Cust_1838,Mumbai,2022-05-10,2143.0000
1020,50,99,4,714.9900,2024-01-22,Completed,Store,0.08,1915.7500,503.4900,Card,2024-01-02,Cust_1020,Jaipur,2023-06-23,7663.0000
470,51,92,1,1247.0000,2024-02-04,Completed,Store,0.06,899.3600,357.5400,Wallet,2024-02-18,Cust_470,Delhi,2023-06-26,899.3600
1255,52,23,5,358.7700,2024-01-02,Completed,App,0.03,339.9700,500.6700,Card,2024-02-24,Cust_1255,Bangalore,2023-01-05,1699.8500
747,53,18,5,1385.5700,2024-02-19,Cancelled,Web,0.01,926.4600,1652.2700,Card,2024-01-14,Cust_747,Delhi,2022-10-11,4632.3000
114,54,86,2,420.3300,2024-01-01,Cancelled,Store,0.26,1738.6100,1124.9800,Card,2024-02-26,Cust_114,Mumbai,2023-10-12,3477.2200
1394,55,21,4,324.2800,2024-01-15,Cancelled,Store,0.03,500.9000,null,null,null,Cust_1394,Pune,2022-08-10,2003.6000
891,56,82,5,332.0100,2024-01-17,Completed,Web,0.28,1296.0300,407.3200,Card,2024-01-10,Cust_891,Jaipur,2023-04-09,6480.1500
22,57,23,2,1603.9400,2024-02-18,Cancelled,Web,0.11,339.9700,null,null,null,Cust_22,Mumbai,2023-09-13,679.9400
1875,58,35,4,1140.2700,2024-02-08,Completed,Store,0.08,1507.3900,456.8100,NetBanking,2024-01-09,Cust_1875,Pune,2022-12-14,6029.5600
1136,59,37,3,1851.4600,2024-02-27,Cancelled,Store,0.11,1091.4200,286.3600,UPI,2024-01-14,Cust_1136,Delhi,2023-03-28,3274.2600
1833,60,80,1,1312.1500,2024-02-14,Completed,App,0.08,1059.5100,null,null,null,Cust_1833,Pune,2022-11-19,1059.5100
632,61,47,3,1593.9000,2024-02-22,Completed,App,0.17,2035.8400,114.7200,NetBanking,2024-01-30,Cust_632,Jaipur,2023-01-06,6107.5200
471,62,90,1,1737.4100,2024-01-18,Completed,Web,0.12,1018.1300,1810.3300,Card,2024-02-17,Cust_471,Jaipur,2022-01-29,1018.1300
765,63,72,2,282.0100,2024-02-07,Completed,Store,0.12,285.5700,1088.4000,Wallet,2024-01-27,Cust_765,Pune,2023-07-23,571.1400
1379,64,11,3,1844.2400,2024-02-03,Cancelled,Web,0.1,465.1600,208.4300,NetBanking,2024-01-27,Cust_1379,Pune,2022-07-13,1395.4800
1697,65,100,3,1632.2600,2024-01-04,Completed,Store,0.23,369.6100,1630.0600,Card,2024-02-16,Cust_1697,Pune,2023-07-31,1108.8300
86,66,63,1,689.3900,2024-01-13,Cancelled,App,0.03,1129.2300,292.8800,UPI,2024-01-04,Cust_86,Pune,2023-02-10,1129.2300
1419,67,27,4,344.7700,2024-01-28,Completed,App,0.1,2036.1300,1561.2200,UPI,2024-03-01,Cust_1419,Jaipur,2022-12-03,8144.5200
534,68,68,2,163.3700,2024-02-13,Completed,Store,0.2,533.9400,null,null,null,Cust_534,Jaipur,2023-01-21,1067.8800
705,69,77,5,905.4600,2024-02-09,Cancelled,App,0.06,282.4700,241.9200,Card,2024-02-04,Cust_705,Bangalore,2023-03-04,1412.3500
398,70,45,1,1397.9500,2024-01-10,Completed,Store,0.24,567.0600,1049.4800,NetBanking,2024-01-10,Cust_398,Jaipur,2022-10-09,567.0600
1966,71,22,5,593.3300,2024-01-21,Cancelled,App,0.05,2015.7100,1414.5300,Card,2024-02-15,Cust_1966,Pune,2022-05-17,10078.5500
170,72,87,3,706.7300,2024-01-24,Cancelled,Store,0.06,959.7900,961.6500,UPI,2024-01-24,Cust_170,Pune,2022-02-26,2879.3700
321,73,67,1,1100.8700,2024-01-30,Completed,App,0.18,661.6800,null,null,null,Cust_321,Pune,2022-07-31,661.6800
292,74,7,4,581.1100,2024-02-13,Cancelled,Store,0.01,541.4200,462.5500,UPI,2024-02-17,Cust_292,Mumbai,2023-08-05,2165.6800
1369,75,1,2,373.9500,2024-01-06,Completed,Store,0.01,1781.5900,1072.1100,Wallet,2024-01-06,Cust_1369,Mumbai,2023-07-11,3563.1800
958,76,55,5,215.8900,2024-02-03,Completed,App,0.29,185.6900,1014.1400,NetBanking,2024-02-19,Cust_958,Delhi,2022-03-28,928.4500
1787,77,34,3,1590.7300,2024-02-02,Completed,Web,0.16,594.7300,912.5700,UPI,2024-01-07,Cust_1787,Pune,2022-04-28,1784.1900
1912,78,46,5,294.8200,2024-02-15,Cancelled,App,0.12,1761.6400,null,null,null,Cust_1912,Mumbai,2023-09-21,8808.2000
671,79,59,4,334.2600,2024-03-01,Cancelled,Web,0.23,264.5200,1791.0200,UPI,2024-01-13,Cust_671,Bangalore,2022-10-11,1058.0800
1656,80,57,3,544.6900,2024-01-02,Completed,App,0.17,688.3500,320.1200,NetBanking,2024-01-02,Cust_1656,Delhi,2022-08-20,2065.0500
1493,81,47,5,926.2800,2024-01-26,Cancelled,Store,0.03,2035.8400,1460.9700,Card,2024-01-29,Cust_1493,Bangalore,2023-12-01,10179.2000
513,82,82,2,1888.5100,2024-02-14,Cancelled,Store,0.2,1296.0300,336.8300,UPI,2024-02-25,Cust_513,Bangalore,2023-02-09,2592.0600
910,83,60,5,703.0700,2024-02-07,Completed,App,0.2,1128.9300,1465.2600,Wallet,2024-01-16,Cust_910,Pune,2022-03-21,5644.6500
1,84,52,1,238.0000,2024-02-12,Cancelled,Store,0.03,629.3800,1097.2400,Wallet,2024-01-08,Cust_1,Pune,2023-02-10,629.3800
